unique_id,original_owner_id
LOR-1761378779.197763-9546,803113397213462588
Amiel-1761378779.19879-6747,803113397213462588
Taxolous-1761378779.19879-2466,803113397213462588
Alm-1761378779.19879-7886,803113397213462588
Island-1761378779.19879-1061,803113397213462588
Island-1761378779.19879-5633,730642159731998774
Concept-1761378779.19879-5950,994823657996177458
RPG-1761378779.19879-5310,1187644569484013641
LB-1761378779.19879-9536,911521189812391966
CA-1761378779.19879-5674,898591162233925682
Wayne-1761378779.19879-5829,1024266899745406986
Jurger-1761378779.19879-1943,898591162233925682
Amiel-1761378779.19879-7218,803113397213462588
TB-1761378779.19879-5724,803113397213462588
Kalani-1761378779.19879-4802,1237244832687325305
Siber-1761378779.19879-4524,1230130106719272980
Amiel-1761378779.19879-4632,898591162233925682
Doge-1761378779.19879-3867,898591162233925682
RPG-1761378779.19879-6673,803113397213462588
Roblocky-1761378779.19879-6178,730642159731998774
DD-1761378779.19879-1668,748888893650239578
SecuritySeb-1761378779.19879-6285,1207314080377868322
LOR-1761378779.19879-7674,1207314080377868322
Parachute-1761378779.19879-6822,898591162233925682
Nethy-1761378779.19879-4760,748888893650239578
Pao-1761378779.19879-2013,898591162233925682
Yoshuze-1761378779.19879-2144,803113397213462588
SturgeonGod-1761378779.19879-7619,803113397213462588
Yoshuze-1761378779.19879-3417,898591162233925682
TB-1761378779.19879-3955,898591162233925682
Submarine-1761378779.19879-7055,1207314080377868322
Alm-1761378779.19879-9808,1207314080377868322
Robrob-1761378779.19879-3192,898591162233925682
Yoshuze-1761378779.19879-8049,898591162233925682
SturgeonGod-1761378779.19879-8185,803113397213462588
TB-1761378779.19879-8281,898591162233925682
Yoshuze-1761378779.19879-9844,898591162233925682
RB-1761378779.19879-5330,1024266899745406986
Submarine-1761378779.19879-4858,898591162233925682
CL-1761378779.19879-7967,898591162233925682
Submarine-1761378779.19879-3393,897476441749471262
BB-1761378779.19879-3228,803113397213462588
RB-1761378779.19879-3706,897476441749471262
RPG-1761378779.19879-6667,897476441749471262
Parachute-1761378779.19879-9325,897476441749471262
Malaysiasoldier2-1761378779.19879-2465,803113397213462588
RPG-1761378779.19879-2076,803113397213462588
Alm-1761378779.19879-5311,897476441749471262
LB-1761378779.19879-9495,803113397213462588
Malaysiasoldier2-1761378779.19879-4823,748888893650239578
RPG-1761378779.19879-7510,1230130106719272980
Robrob-1761378779.19879-3147,898591162233925682
Rob-1761378779.19879-1390,898591162233925682
RPG-1761378779.19879-7356,898591162233925682
RPG-1761378779.19879-3630,898591162233925682
Rifle-1761378779.19879-4808,730642159731998774
Korian-1761378779.19879-3775,898591162233925682
BB-1761378779.19879-1191,803113397213462588
Rob-1761378779.19879-7469,898591162233925682
Kalani-1761378779.19879-2829,898591162233925682
Kalani-1761378779.19879-5325,748888893650239578
Robo_Layer-1761378779.19879-3969,803113397213462588
